CLIENT_ID,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit
768805383,45,M,3,High School,Married,$60K - $80K,Blue,39,12691
818770008,49,F,5,Graduate,Single,Less than $40K,Blue,44,8256
713982108,51,M,3,Graduate,Married,$80K - $120K,Blue,36,3418
769911858,40,F,4,High School,Unknown,Less than $40K,Blue,34,3313
709106358,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,4716
713061558,44,M,2,Graduate,Married,$40K - $60K,Blue,36,4010
810347208,51,M,4,Unknown,Married,$120K +,Gold,46,34516
818906208,32,M,0,High School,Unknown,$60K - $80K,Silver,27,29081
710930508,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,22352
719661558,48,M,2,Graduate,Single,$80K - $120K,Blue,36,11656
708790833,42,M,5,Uneducated,Unknown,$120K +,Blue,31,6748
710821833,65,M,1,Unknown,Married,$40K - $60K,Blue,54,9095
710599683,56,M,1,College,Single,$80K - $120K,Blue,36,11751
816082233,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,8547
712396908,57,F,2,Graduate,Married,Less than $40K,Blue,48,2436
714885258,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,4234
709967358,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,30367
753327333,41,M,3,Unknown,Married,$80K - $120K,Blue,34,13535
806160108,61,M,1,High School,Married,$40K - $60K,Blue,56,3193
709327383,45,F,2,Graduate,Married,Unknown,Blue,37,14470
806165208,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,20979
708508758,62,F,0,Graduate,Married,Less than $40K,Blue,49,1438.3
784725333,41,M,3,High School,Married,$40K - $60K,Blue,33,4470
811604133,47,F,4,Unknown,Single,Less than $40K,Blue,36,2492
789124683,54,M,2,Unknown,Married,$80K - $120K,Blue,42,12217
771071958,41,F,3,Graduate,Single,Less than $40K,Blue,28,7768
720466383,59,M,1,High School,Unknown,$40K - $60K,Blue,46,14784
